"","car.id","time.arrived"
"163","20150020100002-73","2015-08-20 10:00:00"
"164","20150020120003-629","2015-06-20 12:00:00"
"165","20150021030032-233","2015-06-21 03:00:00"
"166","20150021050036-788","2015-09-21 17:00:00"
"167","20150021080000-521","2015-07-21 08:00:00"
"168","20150021110008-649","2015-06-21 11:00:00"
"169","20150021110015-325","2015-11-21 11:00:00"
"170","20150022010045-622","2015-08-22 01:00:00"
"171","20150022040009-518","2015-07-22 16:00:00"
"172","20150022080040-235","2015-09-22 08:00:00"
"173","20150022090025-737","2015-07-22 09:00:00"
"174","20150022110023-715","2015-07-22 11:00:00"
"175","20150022120004-986","2015-05-22 12:00:00"
"176","20150023030012-350","2015-08-23 15:00:00"
"177","20150023080039-257","2015-07-23 08:00:00"
"178","20150024010014-301","2015-06-24 13:00:00"
"179","20150024010045-514","2015-08-24 13:00:00"
"180","20150024030045-709","2015-06-24 15:00:00"
"181","20150024040008-576","2015-08-24 16:00:00"
"182","20150024060019-914","2015-06-24 06:00:00"
"183","20150024060036-489","2015-07-24 06:00:00"
"184","20150024070035-193","2015-08-24 19:00:00"
"185","20150024090008-901","2015-06-24 09:00:00"
"186","20150024110011-994","2015-06-24 11:00:00"
"187","20150024110030-386","2015-08-24 11:00:00"
"188","20150024110036-855","2015-07-24 11:00:00"
"189","20150024120030-790","2015-10-24 00:00:00"
"190","20150024120054-586","2015-05-24 12:00:00"
"191","20150024120056-588","2015-08-24 12:00:00"
"192","20150025040004-379","2015-06-25 16:00:00"
"193","20150025070013-240","2015-08-25 19:00:00"
"194","20150025100027-993","2015-06-25 10:00:00"
"195","20150025100041-260","2015-09-25 10:00:00"
"196","20150026020037-148","2015-06-26 02:00:00"
"197","20150026060010-577","2015-05-26 18:00:00"
"198","20150026070015-698","2015-08-26 07:00:00"
"199","20150026110014-327","2015-07-26 11:00:00"
"200","20150026110019-851","2015-10-26 11:00:00"
"201","20150026120010-942","2015-09-26 12:00:00"
"202","20150026120014-798","2015-09-26 00:00:00"
"203","20150027070016-18","2015-08-27 07:00:00"
"204","20150027080052-161","2015-09-27 08:00:00"
"205","20150027100028-509","2015-08-27 10:00:00"
"206","20150027100030-310","2015-06-27 10:00:00"
"207","20150027100037-189","2015-05-27 10:00:00"
"208","20150027110055-293","2015-08-27 11:00:00"
"209","20150027120012-20","2015-06-27 12:00:00"
"210","20150028030041-325","2015-05-28 15:00:00"
"211","20150028030051-590","2015-08-28 15:00:00"
"212","20150028040010-50","2015-05-28 16:00:00"
"213","20150028050007-273","2015-06-28 17:00:00"
"214","20150028060003-741","2015-08-28 06:00:00"
"215","20150028060011-953","2015-07-28 06:00:00"
"216","20150028060051-703","2015-05-28 06:00:00"
"217","20150028100038-378","2015-09-28 10:00:00"
"218","20150028120058-137","2015-08-28 00:00:00"
"219","20150029020040-164","2015-09-29 14:00:00"
"220","20150029030057-969","2015-06-29 15:00:00"
"221","20150029080012-457","2015-07-29 08:00:00"
"222","20150029090022-198","2015-08-29 09:00:00"
"223","20150029110001-754","2015-10-29 11:00:00"
"224","20150030030022-184","2015-08-30 15:00:00"
"225","20150030050037-993","2015-07-30 17:00:00"
"226","20150030050049-156","2015-06-30 17:00:00"
"227","20150030060046-176","2015-05-30 06:00:00"
"228","20150030070026-128","2015-09-30 07:00:00"
"229","20150030080014-34","2015-08-30 08:00:00"
"230","20150030090034-886","2015-06-30 09:00:00"
"231","20150030090047-958","2015-06-30 09:00:00"
"232","20150030100046-714","2015-07-30 10:00:00"
"233","20150030120002-677","2015-08-30 12:00:00"
"234","20150030120023-694","2015-10-30 12:00:00"
"235","20150031010000-784","2015-05-31 01:00:00"
"236","20150031030030-236","2015-07-31 15:00:00"
"237","20150031040021-961","2015-07-31 16:00:00"
"238","20150031050048-776","2015-07-31 05:00:00"
"239","20150031060051-429","2015-07-31 06:00:00"
"240","20150031070053-947","2015-08-31 07:00:00"
"241","20150031100003-289","2015-10-31 10:00:00"
"242","20150101010137-533","2015-06-01 13:01:00"
"243","20150101020154-96","2015-07-01 14:01:00"
"244","20150101030146-497","2015-05-01 03:01:00"
"245","20150101040141-397","2015-05-01 16:01:00"
"246","20150101050138-171","2015-07-01 17:01:00"
"247","20150101060136-731","2015-05-01 18:01:00"
"248","20150101110137-214","2015-07-01 11:01:00"
"249","20150102010156-22","2015-07-02 01:01:00"
"250","20150102020155-899","2015-08-02 14:01:00"
"251","20150102080136-341","2015-07-02 08:01:00"
"252","20150102080153-960","2015-08-02 08:01:00"
"253","20150102100120-757","2015-06-02 10:01:00"
"254","20150102120122-682","2015-07-02 12:01:00"
"255","20150102120151-257","2015-06-02 12:01:00"
"256","20150103020130-343","2015-06-03 14:01:00"
"257","20150103030112-131","2015-10-03 15:01:00"
"258","20150103040138-632","2015-07-03 16:01:00"
"259","20150103070112-250","2015-09-03 07:01:00"
"260","20150103070124-133","2015-07-03 07:01:00"
"261","20150103100100-923","2015-07-03 10:01:00"
"262","20150103100107-497","2015-07-03 10:01:00"
"263","20150104020118-228","2015-08-04 02:01:00"
"264","20150104030100-971","2015-08-04 03:01:00"
"265","20150104030145-629","2015-08-04 15:01:00"
"266","20150104040106-481","2015-06-04 16:01:00"
"267","20150104050127-736","2015-08-04 17:01:00"
"268","20150104050128-43","2015-05-04 17:01:00"
"269","20150104060101-478","2015-06-04 06:01:00"
"270","20150104090150-765","2015-07-04 21:01:00"
"271","20150104100141-172","2015-12-04 10:01:00"
"272","20150104120123-255","2015-08-04 12:01:00"
"273","20150104120127-678","2015-08-04 12:01:00"
"274","20150105010142-777","2015-07-05 13:01:00"
"275","20150105020100-532","2015-11-05 14:01:00"
"276","20150105040107-528","2015-07-05 16:01:00"
"277","20150105040122-318","2015-06-05 16:01:00"
"278","20150105040131-344","2015-12-05 04:01:00"
"279","20150105040143-572","2015-11-05 16:01:00"
"280","20150105040155-8","2015-07-05 16:01:00"
"281","20150105060134-242","2015-07-05 06:01:00"
"282","20150105060153-959","2015-07-05 06:01:00"
"283","20150105060155-720","2015-07-05 06:01:00"
"284","20150105070153-470","2015-09-05 07:01:00"
"285","20150105080122-729","2015-07-05 08:01:00"
"286","20150105080156-835","2015-05-05 08:01:00"
"287","20150105090139-623","2015-07-05 09:01:00"
"288","20150105120114-572","2015-09-05 12:01:00"
"289","20150106030143-319","2015-08-06 15:01:00"
"290","20150106040105-101","2015-07-06 16:01:00"
"291","20150106080108-146","2015-07-06 08:01:00"
"292","20150106080113-871","2015-07-06 08:01:00"
"293","20150106120154-473","2015-06-06 12:01:00"
"294","20150107030156-44","2015-09-07 15:01:00"
"295","20150107050116-884","2015-08-07 17:01:00"
"296","20150107060117-495","2015-08-07 18:01:00"
"297","20150107070123-611","2015-07-07 07:01:00"
"298","20150107100101-687","2015-05-07 10:01:00"
"299","20150108040111-888","2015-06-08 16:01:00"
"300","20150108040141-642","2015-06-08 16:01:00"
"301","20150108050153-619","2015-08-08 17:01:00"
"302","20150108060104-840","2015-09-08 06:01:00"
"303","20150108060137-927","2015-09-08 06:01:00"
"304","20150108070109-950","2015-09-08 07:01:00"
"305","20150108080154-471","2015-07-08 08:01:00"
"306","20150108090141-220","2015-10-08 09:01:00"
"307","20150108090148-800","2015-09-08 09:01:00"
"308","20150108100110-534","2015-07-08 10:01:00"
"309","20150108100148-571","2015-05-08 22:01:00"
"310","20150108120140-67","2015-08-08 12:01:00"
"311","20150108120150-466","2015-11-08 12:01:00"
"312","20150109020132-169","2015-09-09 14:01:00"
"313","20150109020137-850","2015-07-09 14:01:00"
"314","20150109020146-55","2015-05-09 14:01:00"
"315","20150109040106-69","2015-08-09 16:01:00"
"316","20150109060105-321","2015-08-09 18:01:00"
"317","20150109060133-67","2015-08-09 06:01:00"
"318","20150109070152-346","2015-06-09 07:01:00"
"319","20150109090104-441","2015-08-09 09:01:00"
"320","20150109100114-5","2015-08-09 10:01:00"
"321","20150109120126-683","2015-08-09 12:01:00"
"322","20150110010138-303","2015-06-10 01:01:00"
"323","20150110020117-451","2015-06-10 02:01:00"
"324","20150110030105-67","2015-08-10 15:01:00"
"325","20150110030147-494","2015-11-10 15:01:00"
"326","20150110040142-327","2015-07-10 04:01:00"
"327","20150110050107-785","2015-05-10 17:01:00"
"328","20150110050133-481","2015-07-10 05:01:00"
"329","20150110050137-491","2015-07-10 17:01:00"
"330","20150110060107-684","2015-09-10 06:01:00"
"331","20150110090142-745","2015-07-10 09:01:00"
"332","20150110100128-45","2015-05-10 22:01:00"
"333","20150110120122-92","2015-06-10 12:01:00"
"334","20150111030116-821","2015-07-11 15:01:00"
"335","20150111070138-888","2015-05-11 07:01:00"
"336","20150111080117-6","2015-05-11 20:01:00"
"337","20150111090110-546","2015-07-11 09:01:00"
"338","20150111090154-956","2015-09-11 21:01:00"
"339","20150112010145-445","2015-06-12 01:01:00"
"340","20150112050122-27","2015-07-12 17:01:00"
"341","20150112050156-642","2015-06-12 17:01:00"
"342","20150112060145-428","2015-07-12 06:01:00"
"343","20150112080120-851","2015-08-12 08:01:00"
"344","20150112080156-678","2015-08-12 08:01:00"
"345","20150112090109-791","2015-08-12 09:01:00"
"346","20150112110110-857","2015-08-12 11:01:00"
"347","20150112110147-385","2015-06-12 11:01:00"
"348","20150112120144-135","2015-08-12 12:01:00"
"349","20150113020105-915","2015-09-13 14:01:00"
"350","20150113030155-53","2015-08-13 15:01:00"
"351","20150113030159-936","2015-06-13 15:01:00"
"352","20150113120100-489","2015-09-13 12:01:00"
"353","20150113120141-485","2015-08-13 12:01:00"
"354","20150114010112-608","2015-05-14 13:01:00"
"355","20150114010135-879","2015-09-14 13:01:00"
"356","20150114030106-231","2015-06-14 15:01:00"
"357","20150114060124-678","2015-08-14 06:01:00"
"358","20150114070109-176","2015-08-14 07:01:00"
"359","20150114110103-352","2015-06-14 11:01:00"
"360","20150115010107-702","2015-05-15 13:01:00"
"361","20150115010131-543","2015-09-15 13:01:00"
"362","20150115020146-483","2015-08-15 14:01:00"
"363","20150115030151-677","2015-10-15 15:01:00"
"364","20150115040106-484","2015-06-15 04:01:00"
"365","20150115050115-511","2015-07-15 17:01:00"
"366","20150115060113-519","2015-08-15 06:01:00"
"367","20150115080143-276","2015-07-15 08:01:00"
"368","20150115080147-541","2015-08-15 08:01:00"
"369","20150115090108-931","2015-09-15 21:01:00"
"370","20150115090150-109","2015-05-15 09:01:00"
"371","20150115100135-182","2015-07-15 10:01:00"
"372","20150115110144-566","2015-07-15 11:01:00"
"373","20150115120113-772","2015-10-15 12:01:00"
"374","20150116020159-920","2015-06-16 14:01:00"
"375","20150116050129-415","2015-06-16 17:01:00"
"376","20150116060132-28","2015-06-16 06:01:00"
"377","20150116070109-391","2015-08-16 07:01:00"
"378","20150116100148-276","2015-08-16 10:01:00"
"379","20150116110131-176","2015-07-16 11:01:00"
"380","20150117010157-104","2015-05-17 13:01:00"
"381","20150117050111-877","2015-08-17 05:01:00"
"382","20150117050152-613","2015-08-17 17:01:00"
"383","20150117060105-392","2015-07-17 06:01:00"
"384","20150117070118-157","2015-09-17 07:01:00"
"385","20150117100126-822","2015-09-17 10:01:00"
"386","20150117110134-691","2015-06-17 11:01:00"
"387","20150117120159-447","2015-06-17 12:01:00"
"388","20150118010108-465","2015-09-18 13:01:00"
"389","20150118010148-280","2015-06-18 13:01:00"
"390","20150118040129-468","2015-08-18 04:01:00"
"391","20150118040142-85","2015-05-18 04:01:00"
"392","20150118100127-966","2015-05-18 22:01:00"
"393","20150118110104-393","2015-06-18 23:01:00"
"394","20150118110157-82","2015-06-18 11:01:00"
"395","20150119010140-843","2015-07-19 13:01:00"
"396","20150119050113-178","2015-09-19 05:01:00"
"397","20150119060114-461","2015-06-19 06:01:00"
"398","20150119070106-803","2015-07-19 19:01:00"
"399","20150119070136-139","2015-12-19 07:01:00"
"400","20150119090129-183","2015-09-19 09:01:00"
"401","20150119100120-362","2015-07-19 22:01:00"
"402","20150119100134-582","2015-07-19 10:01:00"
"403","20150120010150-561","2015-07-20 13:01:00"
"404","20150120020159-683","2015-06-20 14:01:00"
"405","20150120070135-951","2015-07-20 07:01:00"
"406","20150120080147-213","2015-06-20 08:01:00"
"407","20150121010129-985","2015-06-21 13:01:00"
"408","20150121010150-667","2015-09-21 13:01:00"
"409","20150121020117-781","2015-07-21 14:01:00"
"410","20150121030143-599","2015-08-21 15:01:00"
"411","20150121040107-161","2015-07-21 04:01:00"
"412","20150121050143-645","2015-05-21 17:01:00"
"413","20150121060147-159","2015-08-21 06:01:00"
"414","20150121070130-958","2015-07-21 19:01:00"
"415","20150121100115-258","2015-09-21 10:01:00"
"416","20150121120122-416","2015-05-21 00:01:00"
"417","20150122020145-884","2015-11-22 14:01:00"
"418","20150122030139-293","2015-11-22 03:01:00"
"419","20150122050120-946","2015-07-22 17:01:00"
"420","20150122050155-696","2015-09-22 17:01:00"
"421","20150122060128-25","2015-06-22 06:01:00"
"422","20150122060131-462","2015-06-22 06:01:00"
"423","20150122060138-185","2015-09-22 06:01:00"
"424","20150122060151-905","2015-05-22 06:01:00"
"425","20150122060153-192","2015-05-22 06:01:00"
"426","20150122090127-897","2015-08-22 09:01:00"
"427","20150122090132-684","2015-06-22 09:01:00"
"428","20150122100136-869","2015-07-22 10:01:00"
"429","20150122100139-218","2015-09-22 10:01:00"
"430","20150122110107-735","2015-08-22 11:01:00"
"431","20150123020103-717","2015-05-23 14:01:00"
"432","20150123030104-225","2015-11-23 03:01:00"
"433","20150123030147-354","2015-08-23 15:01:00"
"434","20150123040133-735","2015-09-23 16:01:00"
"435","20150123040140-843","2015-06-23 16:01:00"
"436","20150123040147-250","2015-06-23 16:01:00"
"437","20150123070109-172","2015-07-23 07:01:00"
"438","20150123100107-508","2015-08-23 10:01:00"
"439","20150123100144-22","2015-08-23 10:01:00"
"440","20150123110109-178","2015-06-23 11:01:00"
"441","20150123120119-117","2015-07-23 00:01:00"
"442","20150124030132-312","2015-06-24 03:01:00"
"443","20150124040121-291","2015-08-24 16:01:00"
"444","20150124040140-271","2015-07-24 16:01:00"
"445","20150124040143-131","2015-09-24 16:01:00"
"446","20150124040148-340","2015-07-24 16:01:00"
"447","20150124050126-399","2015-07-24 17:01:00"
"448","20150124060117-847","2015-09-24 18:01:00"
"449","20150124060130-672","2015-08-24 06:01:00"
"450","20150124080152-145","2015-05-24 08:01:00"
"451","20150124090106-75","2015-07-24 09:01:00"
"452","20150124090120-626","2015-06-24 09:01:00"
"453","20150125040103-831","2015-06-25 16:01:00"
"454","20150125080138-74","2015-07-25 08:01:00"
"455","20150125110117-319","2015-06-25 11:01:00"
"456","20150126050104-378","2015-07-26 17:01:00"
"457","20150126050104-905","2015-07-26 17:01:00"
"458","20150126090104-272","2015-06-26 09:01:00"
"459","20150126090110-87","2015-06-26 09:01:00"
"460","20150126100125-762","2015-09-26 10:01:00"
"461","20150126110156-850","2015-08-26 11:01:00"
"462","20150126120104-294","2015-05-26 12:01:00"
"463","20150127010131-864","2015-08-27 13:01:00"
"464","20150127030109-159","2015-11-27 15:01:00"
"465","20150127030110-863","2015-06-27 15:01:00"
"466","20150127030133-376","2015-08-27 15:01:00"
"467","20150127050102-625","2015-10-27 05:01:00"
"468","20150127090118-293","2015-06-27 09:01:00"
"469","20150127090150-668","2015-07-27 09:01:00"
"470","20150127110109-336","2015-07-27 11:01:00"
"471","20150128020107-210","2015-09-28 02:01:00"
"472","20150128020123-126","2015-08-28 14:01:00"
"473","20150128050153-539","2015-05-28 05:01:00"
"474","20150128070124-874","2015-06-28 07:01:00"
"475","20150128080123-70","2015-09-28 08:01:00"
"476","20150128120128-946","2015-10-28 12:01:00"
"477","20150129040119-274","2015-07-29 04:01:00"
"478","20150129050133-736","2015-12-29 05:01:00"
"479","20150129060102-704","2015-11-29 18:01:00"
"480","20150129070111-412","2015-07-29 07:01:00"
"481","20150129070156-888","2015-07-29 07:01:00"
"482","20150129090159-131","2015-06-29 09:01:00"
"483","20150129120100-835","2015-08-29 12:01:00"
"484","20150130010110-805","2015-06-30 13:01:00"
"485","20150130010144-517","2015-08-30 01:01:00"
"486","20150130020140-998","2015-10-30 02:01:00"
"487","20150130030134-783","2015-07-30 15:01:00"
"488","20150130080133-858","2015-06-30 08:01:00"
"489","20150130120133-197","2015-07-30 12:01:00"
"490","20150131120109-93","2015-07-31 12:01:00"
"491","20150201020251-919","2015-07-01 14:02:00"
"492","20150201030218-279","2015-07-01 15:02:00"
"493","20150201030222-313","2015-06-01 03:02:00"
"494","20150201030223-912","2015-06-01 15:02:00"
"495","20150201030237-485","2015-09-01 15:02:00"
"496","20150201040231-215","2015-07-01 16:02:00"
"497","20150201040237-719","2015-07-01 16:02:00"
"498","20150201060238-845","2015-08-01 06:02:00"
"499","20150201070216-808","2015-08-01 07:02:00"
"500","20150201080212-913","2015-06-01 08:02:00"
"501","20150201080243-358","2015-08-01 08:02:00"
"502","20150202030203-631","2015-12-02 15:02:00"
"503","20150202040220-736","2015-08-02 16:02:00"
"504","20150202100259-885","2015-09-02 10:02:00"
"505","20150202120211-959","2015-07-02 12:02:00"
"506","20150203060210-288","2015-06-03 06:02:00"
"507","20150203060230-10","2015-07-03 06:02:00"
"508","20150203060259-209","2015-07-03 06:02:00"
"509","20150203070211-66","2015-09-03 07:02:00"
"510","20150204010234-9","2015-09-04 13:02:00"
"511","20150204020258-450","2015-05-04 14:02:00"
"512","20150204040257-657","2015-09-04 04:02:00"
"513","20150204070256-521","2015-10-04 07:02:00"
"514","20150204080211-442","2015-07-04 08:02:00"
"515","20150204080227-619","2015-05-04 20:02:00"
"516","20150204100226-134","2015-07-04 22:02:00"
"517","20150204110202-249","2015-08-04 11:02:00"
"518","20150204120203-524","2015-08-04 12:02:00"
"519","20150205010257-226","2015-07-05 13:02:00"
"520","20150205020259-789","2015-07-05 14:02:00"
"521","20150205030232-909","2015-08-05 15:02:00"
"522","20150205030244-387","2015-10-05 15:02:00"
"523","20150205040226-2","2015-09-05 16:02:00"
"524","20150205040249-209","2015-09-05 16:02:00"
"525","20150205040259-818","2015-12-05 16:02:00"
"526","20150205050206-416","2015-07-05 05:02:00"
"527","20150205050211-113","2015-07-05 05:02:00"
"528","20150205050224-69","2015-11-05 17:02:00"
"529","20150205050251-251","2015-08-05 17:02:00"
"530","20150205060243-479","2015-06-05 06:02:00"
"531","20150205070257-697","2015-06-05 07:02:00"
"532","20150205080233-879","2015-05-05 08:02:00"
"533","20150205080250-857","2015-07-05 08:02:00"
"534","20150205080253-978","2015-09-05 08:02:00"
"535","20150205110228-447","2015-09-05 11:02:00"
"536","20150205120211-387","2015-11-05 00:02:00"
"537","20150206010230-163","2015-05-06 13:02:00"
"538","20150206070250-791","2015-09-06 07:02:00"
"539","20150206080209-247","2015-09-06 08:02:00"
"540","20150206080212-82","2015-07-06 08:02:00"
"541","20150206080226-163","2015-08-06 08:02:00"
"542","20150206090205-388","2015-10-06 21:02:00"
"543","20150206090210-251","2015-08-06 09:02:00"
"544","20150206090224-936","2015-07-06 21:02:00"
"545","20150206110209-450","2015-06-06 11:02:00"
"546","20150206110226-989","2015-08-06 11:02:00"
"547","20150207010252-949","2015-06-07 01:02:00"
"548","20150207030221-800","2015-08-07 15:02:00"
"549","20150207040215-112","2015-07-07 04:02:00"
"550","20150207040220-935","2015-05-07 16:02:00"
"551","20150207050247-410","2015-05-07 17:02:00"
"552","20150207050259-178","2015-07-07 17:02:00"
"553","20150207060250-229","2015-08-07 06:02:00"
"554","20150207070201-863","2015-08-07 07:02:00"
"555","20150207070236-872","2015-07-07 07:02:00"
"556","20150207080240-722","2015-08-07 08:02:00"
"557","20150207090207-597","2015-06-07 09:02:00"
"558","20150207100218-368","2015-08-07 10:02:00"
