startgate ,endgate ,avgtime ,totaltraffic 
gate5,gate4,7.668674699,166
entrance3,gate6,2,23
gate6,entrance3,2.086956522,23
general-gate3,entrance2,6.033653846,208
camping4,entrance1,7.213235294,136
camping1,entrance2,16.55,20
entrance2,camping1,16.97142857,35
camping1,general-gate5,8.117647059,34
general-gate4,gate7,10.47222222,72
gate4,general-gate3,11.02898551,138
entrance1,entrance1,310.25,4
general-gate6,gate5,1.5,18
gate4,general-gate5,9.307692308,13
gate5,general-gate6,1.375,16
ranger-stop4,camping5,4,2
general-gate5,gate4,9,10
gate4,gate8,12.52380952,42
entrance0,entrance0,5057.625,8
general-gate6,gate8,6.473684211,19
gate1,gate2,16.71428571,14
gate5,camping6,5.7,10
general-gate7,gate7,7.583333333,12
gate8,general-gate6,6.458333333,24
camping2,gate2,3.5,2
gate2,camping4,9,3
camping0,gate2,17.5,2
camping0,camping3,8,2
gate1,camping2,19.8,5
general-gate6,gate4,6.375,8
camping1,camping8,16.66666667,3
gate6,general-gate1,20.25,4
gate2,gate1,16.83333333,6
camping3,gate1,7.2,5
general-gate6,general-gate6,0,2
general-gate5,general-gate5,0,2
general-gate5,entrance2,11,2
gate8,camping6,2.368421053,19
camping2,camping0,20,1
camping3,gate2,12.75,4
camping2,gate1,20.5,2
entrance1,ranger-stop1,7.5,6
ranger-stop1,entrance1,7.5,6
camping2,camping3,15,2
gate4,general-gate6,6.5,4
entrance2,entrance2,298,2
camping4,camping2,11.5,4
entrance4,entrance4,5951.6,20
camping6,gate5,5.2,10
gate7,general-gate7,6.888888889,9
general-gate7,general-gate7,2,1
camping8,camping1,18,1
entrance3,entrance3,3845.222222,9
general-gate1,gate6,19,2
gate0,general-gate4,11,2
camping0,camping2,20,1
camping3,camping4,4,1
camping4,camping0,9,1
camping0,camping4,8,1
entrance3,general-gate4,12,1
general-gate4,general-gate4,4,1
general-gate4,entrance3,12,1
camping6,gate4,11.66666667,3
camping4,gate2,8,2
camping6,general-gate6,7,1
gate2,camping0,18,1
gate2,camping2,3.5,2
camping2,camping4,13,1
general-gate1,general-gate1,3,1
camping3,camping0,8,1
