car.id, path
20151301111352-990, entrance0 general-gate4 general-gate7 camping3 camping3 general-gate7 entrance3
20152401012401-945, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152501012546-952, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152501012557-10, ranger-base gate8 general-gate5 general-gate2 ranger-stop0 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 ranger-stop4 ranger-stop4 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop2 ranger-stop0 general-gate2 general-gate5 gate8 ranger-base
20153601013616-849, entrance1 general-gate7 entrance3
20150801020850-865, ranger-base gate8 general-gate5 camping8 camping8 general-gate5 gate5 ranger-stop6 ranger-stop6 gate5 gate4 ranger-stop5 ranger-stop5 gate4 gate8 ranger-base
20153401033430-345, ranger-base gate8 gate5 ranger-stop6 ranger-stop6 gate5 general-gate5 general-gate2 ranger-stop0 ranger-stop0 general-gate2 general-gate5 gate8 ranger-base
20154101034146-410, entrance4 entrance2
20154801034809-529, entrance2 entrance4
20150101040141-397, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20154001044056-714, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 entrance3
20155401045441-227, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20150101060136-731, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20152601072603-870, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20155201075206-349, entrance4 entrance2
20154301114306-910, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20151302121334-985, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20155502025544-979, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20150502040512-565, entrance1 general-gate7 entrance3
20152802052806-928, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 entrance3
20152102062100-389, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 general-gate6 camping7 camping7 general-gate6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20155202065206-711, ranger-base gate8 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20150602070649-231, entrance3 general-gate7 entrance1
20151402071449-545, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20151602071621-654, entrance0 general-gate4 general-gate7 entrance1
20154002074031-133, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20155202075207-398, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping5 camping5 general-gate7 entrance3
20155502075522-491, entrance2 entrance4
20151202081232-209, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20154302084310-559, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20154702084758-168, entrance3 general-gate7 camping5 camping5 general-gate7 general-gate4 entrance0
20150502090541-904, entrance1 general-gate7 general-gate4 entrance0
20151902111913-640, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 camping8 camping8 general-gate5 entrance4
20155602115634-803, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20150302010312-760, entrance1 camping2 camping2 general-gate7 entrance3
20152602012639-340, entrance0 general-gate4 general-gate7 camping0 camping0 general-gate7 entrance3
20153002013028-298, entrance0 general-gate4 general-gate7 camping4 camping4 entrance1
20151202021230-956, entrance0 general-gate4 general-gate7 camping4 camping4 general-gate7 entrance3
20153602023647-120, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155302025352-365, entrance0 general-gate4 general-gate7 entrance1
20152002042015-193, entrance4 general-gate5 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20154102044113-988, ranger-base gate8 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 gate5 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate8 ranger-base
20154602044612-82, ranger-base gate8 general-gate5 general-gate2 ranger-stop0 ranger-stop2 ranger-stop2 general-gate1 general-gate4 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 ranger-stop6 gate5 gate4 ranger-stop5 ranger-stop5 gate4 general-gate3 camping8 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate5 ranger-stop6 gate6 general-gate7 gate2 ranger-stop1 ranger-stop1 gate2 general-gate7 ranger-stop4 ranger-stop4 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 ranger-stop0 general-gate2 general-gate5 gate8 ranger-base
20154802044825-624, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20151602071627-36, entrance0 entrance3
20151902071923-16, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20150002080040-921, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20152102082141-406, entrance4 entrance2
20153002083021-292, entrance4 entrance2
20150802110852-346, entrance0 general-gate4 general-gate7 entrance1
20151003121025-950, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20151703121720-618, entrance1 general-gate7 entrance3
20152503012502-560, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20150903020928-497, entrance3 entrance0
20154003044005-17, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155003055049-24, entrance3 general-gate7 entrance1
20155403055443-412, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155703055759-583, entrance4 entrance2
20151403061425-243, entrance3 general-gate7 entrance1
20154003064055-201, entrance4 entrance2
20155103065157-254, entrance1 general-gate7 entrance3
20155803065823-477, entrance0 general-gate4 general-gate7 entrance1
20151903071934-939, entrance1 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20153603073614-148, entrance1 general-gate7 camping5 camping5 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20154003074050-280, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20150903080915-957, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154303084322-126, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151503091545-22, entrance2 general-gate3 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20150303100343-74, ranger-base gate8 gate5 ranger-stop6 gate6 general-gate7 ranger-stop4 ranger-stop4 camping5 camping5 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 ranger-stop0 ranger-stop2 general-gate1 general-gate4 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 gate5 gate8 ranger-base
20153203103200-611, ranger-base gate8 gate5 ranger-stop6 ranger-stop6 gate5 gate4 ranger-stop5 ranger-stop5 gate4 general-gate3 camping8 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate8 ranger-base
20153703103702-660, entrance0 entrance3
20153903103918-43, entrance3 general-gate7 camping2 camping2 entrance1
20155303105327-375, entrance1 general-gate7 general-gate4 entrance0
20155803105858-900, entrance0 general-gate4 general-gate7 camping2 camping2 general-gate7 entrance3
20150703110736-237, entrance0 general-gate4 general-gate7 camping5 camping5 general-gate7 entrance3
20151803121817-229, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20150403020416-490, entrance3 general-gate7 camping5 camping5 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20153003023054-91, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152503032527-873, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20153103033157-551, entrance3 entrance0
20153203033246-681, entrance0 general-gate4 general-gate7 camping0 camping0 general-gate7 entrance3
20153203033255-977, entrance3 general-gate7 camping4 camping4 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155003035017-260, entrance0 general-gate4 general-gate7 camping5 camping5 general-gate7 entrance3
20155103035116-592, entrance3 general-gate7 camping4 camping4 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155803035851-140, entrance4 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20150803050829-770, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 gate5 gate8 ranger-base
20151103051105-693, entrance3 general-gate7 entrance1
20154803054807-805, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20155403055431-257, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 general-gate6 camping7 camping7 general-gate6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154803064813-28, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155203065209-82, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20151203081248-820, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20152803082805-619, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20154403084410-270, entrance4 entrance2
20155903115957-556, entrance0 entrance3
20151704021745-210, entrance3 entrance0
20153704023750-346, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20154804054851-733, entrance1 general-gate7 general-gate4 entrance0
20150704060747-94, entrance3 entrance0
20150804070850-234, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20152104072125-25, entrance0 general-gate4 general-gate7 entrance1
20153404073436-211, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20155304075353-452, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20151304091319-319, entrance1 general-gate7 entrance3
20152904102929-831, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20153504103546-744, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 gate5 gate8 ranger-base
20153604113610-711, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 camping8 camping8 general-gate5 entrance4
20155304115351-36, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151604011635-266, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 entrance3
20154304014359-573, entrance0 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155704015750-993, entrance1 general-gate7 general-gate4 entrance0
20150204020258-450, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 camping8 camping8 general-gate3 entrance2
20154004024058-952, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20155404025425-846, ranger-base gate8 general-gate5 general-gate2 ranger-stop0 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 ranger-stop4 ranger-stop4 general-gate7 gate2 ranger-stop1 ranger-stop1 gate2 general-gate7 gate6 ranger-stop6 gate5 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop2 ranger-stop0 general-gate2 general-gate5 gate8 ranger-base
20150604030648-583, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate0 camping1 camping1 general-gate0 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20155404035404-301, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155604035654-479, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping2 camping2 general-gate7 general-gate4 entrance0
20152204042233-205, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20150104050128-43, entrance1 camping0 camping0 general-gate7 entrance3
20152404052454-27, ranger-base gate8 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 gate6 ranger-stop6 gate5 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate8 ranger-base
20151504061538-491, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151204071251-825, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154804074827-231, entrance3 general-gate7 entrance1
20150204080227-619, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20151804101823-786, entrance4 entrance2
20151904111928-259, entrance1 general-gate7 general-gate4 entrance0
20152904112957-341, entrance2 entrance4
20155205125210-970, entrance0 entrance3
20152405012441-733, entrance1 general-gate7 general-gate4 entrance0
20150505020522-625, entrance3 gate6 ranger-stop6 gate5 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 general-gate5 gate5 ranger-stop6 gate6 entrance3
20151705031703-749, entrance0 entrance3
20151805061831-133, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152905062953-731, ranger-base gate8 general-gate5 general-gate2 ranger-stop0 ranger-stop0 general-gate2 general-gate5 gate8 ranger-base
20153305073332-375, entrance4 camping6 camping6 entrance4
20155305075355-395, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20150105080156-835, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20150205080233-879, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152705082700-328, entrance4 general-gate5 camping8 camping8 general-gate5 entrance4
20153305083306-650, entrance2 entrance4
20155705085752-232, entrance3 general-gate7 camping2 camping2 general-gate7 entrance3
20150905090932-101, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 general-gate6 camping7 camping7 general-gate6 entrance4
20154205094230-49, entrance0 general-gate4 general-gate7 entrance1
20154305094348-630, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20154105104122-644, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping5 camping5 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155305105337-96, entrance1 general-gate7 entrance3
20153105123101-248, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 entrance2
20155705125721-407, entrance3 general-gate7 camping5 camping5 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20150405010436-416, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20151305011343-613, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20153705013742-751, entrance3 entrance0
20151905021902-720, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20153405023441-79, entrance3 entrance0
20150605040618-478, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping4 camping4 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152105042140-626, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 entrance0
20153705043758-335, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20150505050508-318, entrance3 general-gate7 entrance1
20154105054102-171, entrance4 entrance2
20152005062002-300, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20151205071201-727, entrance2 entrance4
20152305082333-92, entrance0 entrance3
20151905101914-783, entrance3 entrance0
20155705105749-356, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152006012006-635, entrance0 entrance3
20152106012143-868, entrance1 general-gate7 general-gate4 entrance0
20155606025608-621, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152406032402-937, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20152506042502-26, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152606062618-786, entrance1 general-gate7 camping5 camping5 general-gate7 entrance1
20154106074104-999, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20154506074517-446, entrance3 general-gate7 camping5 camping5 general-gate7 entrance3
20154606074616-822, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155106075153-120, entrance1 general-gate7 entrance3
20155006085003-110, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20150506090520-357, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20154106094124-665, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20155006095026-111, ranger-base gate8 gate5 ranger-stop6 gate6 gate7 ranger-stop7 ranger-stop7 gate7 general-gate7 gate2 ranger-stop1 ranger-stop1 gate2 general-gate7 ranger-stop4 ranger-stop4 general-gate7 gate6 ranger-stop6 gate5 gate8 ranger-base
20155106095135-527, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 entrance2
20151606101600-597, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20151806101842-841, entrance4 general-gate5 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20153006113031-795, entrance0 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20154006114047-586, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20153206123228-826, entrance2 camping6 camping6 entrance4
20154406124402-983, entrance0 general-gate4 general-gate7 entrance1
20150206010230-163, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20153806013838-97, entrance0 general-gate4 general-gate7 entrance1
20153906013912-384, entrance2 general-gate3 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20154706014752-824, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20152106022153-516, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20155806025837-218, entrance3 entrance0
20150006030021-893, entrance1 general-gate7 entrance3
20150706030713-770, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151006031050-832, entrance4 general-gate6 camping7 camping7 general-gate6 entrance2
20151406031406-139, entrance0 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate0 camping1 camping1 general-gate0 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20152206042215-304, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20153606043644-52, entrance1 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155306045344-471, entrance1 camping3 camping3 entrance1
20155506045548-864, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping5 camping5 general-gate7 entrance1
20152606052635-272, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154506054512-623, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20152006062054-938, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151006071004-39, entrance3 entrance0
20154106084128-953, entrance1 general-gate7 general-gate4 entrance0
20155206105236-868, entrance0 general-gate4 general-gate7 entrance1
20152307032352-90, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20150307040337-388, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154007054004-20, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20152507062510-527, entrance4 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20151907071951-454, entrance1 general-gate7 general-gate4 entrance0
20151607081638-405, entrance3 general-gate7 camping3 camping3 general-gate7 entrance3
20152807082801-714, entrance0 general-gate4 general-gate7 camping2 camping2 general-gate7 general-gate4 entrance0
20154407084406-55, entrance4 general-gate5 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20151107091117-166, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20150107100101-687, entrance2 entrance4
20151107101114-603, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping3 camping3 general-gate7 entrance3
20151507101514-517, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20152907102943-591, entrance1 general-gate7 entrance3
20153707103738-243, entrance0 general-gate4 general-gate7 entrance1
20154707104714-7, entrance1 general-gate7 camping5 camping5 general-gate7 general-gate4 entrance0
20154807104818-336, entrance1 camping2 camping2 general-gate7 entrance3
20150907110929-382, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
